ID_FA,ID_Moveme,Inclusiveness,Met_structure,Metaphor,Literal,Translation (Eng),Met_topic,Met_vehicle,Lit_topic,Length_Met_Topic,Length_Vehicle,Length_Lit_Topic,FamMoveme_Met,SensMoveme_Met,FamLevelMoveme_Met,FamMoveme_Lit,SensMoveme_Lit,FamLevelMoveme_Lit,Bambini et al. (2013),Bambini et al. (2016),Canal et al. (2022),Bambini et al. (2024),Lago et al. (2024),IUSS NEPLab MetaBody study,IUSS NEPLab MetaImagery study,IUSS NEPLab MetaStep study
FA257,sent_16,"7,4",Predicate,Il politico trita le idee degli avversari,Il cuoco trita la cipolla con il coltello,The politician is tearing his opponents' ideas apart/The politician is grinding down his opponents' ideas,idea,tritare,cipolla,4,5,7,"4,3","4,966666667",LOW,"5,733333333","5,896551724",HIGH,N,N,N,N,N,N,N,N
FA258,sent_17,"7,8",Predicate,Annalisa scava i segreti dell'animo ,Il ragazzino scava la buca nella sabbia,Annalisa delves into the secrets of the soul/Annalisa digs into the secrets of the soul,segreto,scavare,buca,7,5,4,"5,3","5,633333333",LOW,"6,466666667","6,172413793",HIGH,N,N,N,N,N,N,N,N
FA259,sent_18,"6,2",Predicate,Marcella colpisce il cuore del suo fidanzato,Pietro colpisce il rivale con un pugno,Marcella touches her boyfriend's heart/Marcella strikes her boyfriend's heart,cuore,colpire,rivale,5,8,6,"5,366666667","5,833333333",HIGH,5,"5,75862069",LOW,N,N,N,N,N,N,N,N
FA260,sent_19,"7,8",Predicate,Antonio solleva il dolore del suo amico,Teresa solleva la valigia dal carrello,Antonio is easing his friend's pain,dolore,sollevare,valigia,6,7,7,"3,9","4,633333333",LOW,"4,933333333","5,620689655",LOW,N,N,N,N,N,N,N,N
FA261,sent_20,"7,8",Predicate,Alessandro versa le energie nello studio,Il barista versa il succo nel bicchiere,Alessandro pours his energy into studying,energia,versare,succo,7,5,5,"5,166666667","5,4",LOW,"5,933333333","6,103448276",HIGH,N,N,N,N,N,N,N,N
FA262,sent_21,"7,2",Predicate,Il poliziotto strappa una confessione al ladro,il controllore strappa i biglietti d' ingresso,The officer is forcing a confession from the thief/The officer is extracting a confession from the thief,confessione,strappare,biglietto,11,7,9,"5,7","6,533333333",HIGH,"6,066666667","5,896551724",HIGH,N,N,N,N,N,N,N,N
FA263,sent_22,"5,8",Predicate,Elisa spazza i problemi con decisione,La cameriera spazza per terra con la scopa,Elisa clears away her problems with resolve/Elisa sweeps away her problems with resolve,problema,spazzare,terra,8,6,5,"4,5","5,1",LOW,"5,666666667","5,896551724",HIGH,N,N,N,N,N,N,N,N
FA264,sent_23,8,Predicate,Anna raccoglie le confidenze dell' amica,Valentina raccoglie le margherite dal prato,Anna listens to her friend's secrets/Anna gathers her friend's confidences,confidenza,raccogliere,margherita,10,9,10,"5,7","5,7",HIGH,6,"5,75862069",HIGH,N,N,N,N,N,N,N,N
FA265,sent_24,"6,4",Predicate,Sara sciacqua la coscienza con la beneficienza,La cuoca sciacqua l' insalata nella bacinella,Sara cleanses her conscience with charity/Sara washes her conscience clean with charity,coscienza,sciacquare,insalata,9,8,8,"3,6","5,1",LOW,"5,333333333","5,965517241",HIGH,N,N,N,N,N,N,N,N
FA266,sent_25,"7,4",Predicate,Il giudice addita le colpe degli imputati,Il bimbo addita il giocattolo in vetrina,The judge points to the defendants' guilt,colpa,additare,giocattolo,5,6,10,"4,633333333","4,933333333",LOW,"4,2","5,172413793",LOW,N,N,N,N,N,N,N,N
FA267,sent_26,8,Predicate,Il dirigente cuce nuovi rapporti di lavoro,Virginia cuce il vestito per la cerimonia,The manager builds new professional ties/The manager stitches new work relationships together,rapporto,cucire,vestito,8,4,7,"4,466666667","4,633333333",LOW,"4,8","5,75862069",LOW,N,N,N,N,N,N,N,N
FA268,sent_27,"7,4",Predicate,Il giovane coglie l' opportunità con entusiasmo,Annamaria coglie i tulipani per il bouquet,The young man seizes the opportunity with enthusiasm,opportunità,cogliere,tulipano,11,6,8,"6,366666667","6,166666667",HIGH,"5,266666667","6,172413793",LOW,N,N,N,N,N,N,N,N
FA269,sent_28,7,Predicate,L' inventore sfoglia le idee nella sua testa,L' alunno sfoglia il sussidiario di geografia,The inventor is flipping through the ideas in his mind/The inventor is browsing through the ideas in his mind,idea,sfogliare,sussidiario,4,7,11,"4,066666667","5,2",LOW,"5,4","5,75862069",HIGH,N,N,N,N,N,N,N,N
FA270,sent_29,"7,6",Predicate,Silvia afferra l' intuizione del collega,Il bambino afferra la mano del padre,Silvia understands  her colleague's intuition/Silvia grasps her colleague's intuition,intuizione,afferrare,mano,10,7,4,"5,466666667","5,9",HIGH,"6,266666667","6,448275862",HIGH,N,N,N,N,N,N,N,N
FA271,sent_30,"4,6",Predicate,La madre costruisce la personalità del figlio,Roberto costruisce un capanno per gli attrezzi,The mother is shaping her son's personality/The mother is building her son's personality,personalità,costruire,capanno,11,10,7,"4,866666667","5,466666667",LOW,"5,2","5,689655172",LOW,N,N,N,N,N,N,N,N
FA272,sent_61,"7,6",Predicate,Adele calpesta i sogni della figlia ,Alessandro calpesta la coda del gatto,Adele tramples on her daughter's dreams,sogno,calpestare,coda,5,8,4,"4,4","5,379310345",LOW,"6,2","5,966666667",HIGH,N,N,N,N,N,N,N,N
FA273,sent_62,"6,8",Predicate,Carlo calcia le critiche degli invidiosi ,Il giocatore calcia il pallone con forza,Carlo shrugs off envious criticism/Carlo kicks away the critics' envy,critica,calciare,pallone,7,6,7,"2,933333333","4,206896552",LOW,"6,366666667","6,133333333",HIGH,N,N,N,N,N,N,N,N
FA274,sent_63,"6,6",Predicate,L' architetto saltella da un' idea all' altra ,La bambina saltella da un sasso all' altro,The architect hops from one idea to the next,idea,saltellare,sasso,4,8,5,4,"4,827586207",LOW,"5,6","5,666666667",HIGH,N,N,N,N,N,N,N,N
FA275,sent_64,6,Predicate,Lo studente zoppica verso l' esame di storia,Il ferito zoppica verso l' ospedale da campo,The student struggles toward the history exam/The student trudges toward the history exam,esame,zoppicare,ospedale,5,7,8,"3,6","4,413793103",LOW,"5,566666667","5,866666667",HIGH,N,N,N,N,N,N,N,N
FA276,sent_65,"6,4",Predicate,Lisa corre verso l' amore con ingenuità,Francesca corre verso casa con il cane,Lisa rushes into love with innocence,amore,correre,casa,5,5,4,"4,2","5,379310345",LOW,"6,433333333","6,066666667",HIGH,N,N,N,N,N,N,N,N
FA277,sent_66,7,Predicate,Il nonno cammina tra i ricordi d' infanzia,L' alpinista cammina tra i cespugli del bosco ,Grandpa is revisiting his childhood memories/Grandpa is wandering through his childhood memories,ricordo,camminare,cespuglio,7,7,9,"3,933333333","5,24137931",LOW,"6,2","6,066666667",HIGH,N,N,N,N,N,N,N,N
FA278,sent_67,"8,4",Predicate,L' imprenditore segue l' istinto con decisione,Gregorio segue la guida dentro al museo,The entrepreneur follows his instincts decisively,istinto,seguire,guida,7,5,5,"4,666666667","5,344827586",LOW,"6,533333333","6,266666667",HIGH,N,N,N,N,N,N,N,N
FA279,sent_68,6,Predicate,Aldo fugge dagli obblighi del matrimonio,Il ragazzo fugge dal castello sulla collina ,Aldo runs from the obligations of marriage,obbligo,fuggire,castello,7,5,8,"4,933333333","5,931034483",LOW,"5,033333333","5,9",LOW,N,N,N,N,N,N,N,N
FA280,sent_69,"7,6",Predicate,Marco percorre il destino del campione,Giulia percorre il sentiero di montagna,Marco is following his path as a champion,destino,percorrere,sentiero,7,8,8,"4,133333333","5,172413793",LOW,"6,566666667","6,3",HIGH,N,N,N,N,N,N,N,N
FA281,sent_70,"7,8",Predicate,Sofia attraversa le difficoltà con coraggio,Paolo attraversa la strada con attenzione,Sofia faces difficulties with courage/Sofia pushes through hardship bravely,difficoltà,attraversare,strada,10,10,6,"5,066666667","6,068965517",LOW,"6,566666667","6,233333333",HIGH,N,N,N,N,N,N,N,N
FA282,sent_71,"7,6",Predicate,Mario arriva alla decisione con fatica,La studentessa arriva a scuola a piedi,Mario has reached his decision with difficulty,decisione,arrivare,scuola,9,6,6,"5,6","6,24137931",HIGH,"6,6","6,3",HIGH,N,N,N,N,N,N,N,N
FA283,sent_72,"8,2",Predicate,Il paziente salta l' appuntamento con il dottore,Edoardo salta il ruscello per gioco,The patient has skipped his doctor's appointment,appuntamento,saltare,ruscello,12,5,8,"3,133333333","4,344827586",LOW,"5,8","6,033333333",HIGH,N,N,N,N,N,N,N,N
FA284,sent_73,9,Predicate,Marta giunge alla conclusione del discorso,Il viaggiatore giunge alla casa in campagna,Marta has arrived at the conclusion of her speech,conclusione,giungere,casa,11,6,4,"5,4","6,103448276",LOW,"6,166666667","5,9",HIGH,N,N,N,N,N,N,N,N
FA285,sent_74,"7,6",Predicate,Il critico entra nella discussione con foga,Il preside entra in aula all' improvviso,The critic has jumped into the discussion passionately,discussione,entrare,aula,11,5,4,"4,733333333","5,896551724",LOW,"6,466666667","6,3",HIGH,N,N,N,N,N,N,N,N
FA286,sent_75,"6,8",Predicate,Luigi avanza tra i problemi della vita,La sposa avanza tra gli invitati in chiesa,Luigi pushes forward through life's problems,problema,avanzare,invitato,8,6,8,"4,6","5,310344828",LOW,"6,366666667","6,4",HIGH,N,N,N,N,N,N,N,N
FA287,sent_76,"7,4",Predicate,Giorgio passa dalla gioia alla disperazione ,Sabrina passa da una bancarella all' altra,Giorgio goes from joy to despair/Giorgio swings from joy to despair,gioia,passare,bancarella,5,5,10,"6,4","6,433333333",HIGH,"5,533333333","5,482758621",HIGH,N,N,N,N,N,N,N,N
FA288,sent_77,7,Predicate,L' uomo raggiunge la felicità per un istante,L' atleta raggiunge il traguardo per primo,The man has touched happiness for a moment,felicità,raggiungere,traguardo,8,9,9,"5,6","5,966666667",HIGH,"5,666666667","6,24137931",HIGH,N,N,N,N,N,N,N,N
FA289,sent_78,"7,6",Predicate,La vicina scende nei particolari della storia,Nicoletta scende le scale del condominio,The neighbor is diving into the details of the story/The neighbor goes deep into the details of the story,particolare,scendere,scala,11,6,5,"5,8","5,866666667",HIGH,"5,4","6,034482759",LOW,N,N,N,N,N,N,N,N
FA290,sent_79,7,Predicate,Mara inciampa negli imprevisti della vita,Alessio inciampa nelle stringhe delle scarpe,Mara has stumbled over life's unexpected turns,imprevisto,inciampare,stringa,10,8,7,"5,2","5,766666667",LOW,"5,6","5,75862069",HIGH,N,N,N,N,N,N,N,N
FA291,sent_80,"6,8",Predicate,Nino esce dall' ossessione delle scommesse,Lucia esce dallo spogliatoio della palestra,Nino has broken free from his gambling obsession,ossessione,uscire,spogliatoio,10,4,11,"5,033333333","6,1",LOW,"6,066666667","5,965517241",HIGH,N,N,N,N,N,N,N,N
FA292,sent_81,"7,6",Predicate,Lo psicologo perlustra l' animo del paziente,Dario perlustra la cantina con la torcia,The psychologist is exploring the patient's soul,animo,perlustrare,cantina,5,9,7,"4,766666667","5,5",LOW,"5,066666667","5,896551724",LOW,N,N,N,N,N,N,N,N
FA293,sent_82,"7,2",Predicate,L' adolescente girovaga nei sogni di successo,Il pellegrino girovaga nei sentieri di campagna ,The teenager is wandering through dreams of success,sogno,girovagare,sentiero,5,8,8,"4,233333333","4,733333333",LOW,"3,4","5,24137931",LOW,N,N,N,N,N,N,N,N
FA294,sent_83,7,Predicate,L' operaio arranca verso la paga di fine-mese,Il maratoneta arranca verso la linea d' arrivo,The worker is struggling toward his end-of-month paycheck,paga,arrancare,linea,4,7,5,"5,666666667","5,9",HIGH,"5,333333333","6,034482759",LOW,N,N,N,N,N,N,N,N
FA295,sent_84,"6,6",Predicate,Elena scivola sulla domanda di filosofia,Alberto scivola sul pavimento del bagno,Elena has stumbled over the philosophy question,domanda,scivolare,pavimento,7,7,9,"5,833333333","6,1",HIGH,"5,4","5,551724138",LOW,N,N,N,N,N,N,N,N
FA296,sent_85,4,Predicate,Il padre sgattaiola dall' impegno dei figli,Il rapinatore sgattaiola dalla porta sul retro,The father is sneaking away from parenting duties,impegno,sgattaiolare,porta,7,10,5,"6,566666667","6,166666667",HIGH,"4,533333333","5,620689655",LOW,N,N,N,N,N,N,N,N
FA297,sent_86,"7,8",Predicate,Luca scappa dalla realtà con la meditazione,Il ladro scappa dalla polizia con il furgone,Luca escapes reality through meditation,realtà,scappare,polizia,6,6,7,"5,3","5,933333333",LOW,"5,4","6,103448276",LOW,N,N,N,N,N,N,N,N
FA298,sent_87,"7,4",Predicate,L' artista pedala sull' ispirazione del momento,Claudio pedala sulla bicicletta del fratello,The artist rides on a wave of inspiration,ispirazione,pedalare,bicicletta,11,6,10,"3,5","4,233333333",LOW,"5,666666667","6,172413793",HIGH,N,N,N,N,N,N,N,N
FA299,sent_88,"7,4",Predicate,Il direttore pesta i diritti dei lavoratori,La donna pesta l' uva durante la vendemmia,The director is trampling on workers' rights,diritto,pestare,uva,7,5,3,"5,733333333","6,166666667",HIGH,5,"6,103448276",LOW,N,N,N,N,N,N,N,N
FA300,sent_89,"7,4",Predicate,Franco scalcia i rimorsi di coscienza,Bianca scalcia il copriletto nel sonno,Franco is kicking pangs of guilt away,rimorso,scalciare,copriletto,7,7,10,"4,566666667","4,966666667",LOW,"4,933333333","5,551724138",LOW,N,N,N,N,N,N,N,N
FA301,sent_90,"7,8",Predicate,La ragazza passeggia tra le pagine del diario,Beatrice passeggia tra i negozi del centro,The girl is wandering through the pages of her diary/The girl is strolling through the pages of her diary,pagina,passeggiare,negozio,9,8,7,"3,033333333","3,966666667",LOW,"5,733333333","5,827586207",HIGH,N,N,N,N,N,N,N,N
