ID_FA,ID_MetaEdu,Inclusiveness,Met_structure,Metaphor,Literal,Translation (Eng),Met_Topic,Met_Vehicle,Lit_Topic,Length_Met_Topic,Length_Vehicle,Length_Lit_Topic,MEA(M)MetaEdu_Met,MEA(Mdn)MetaEdu_Met,MEA(SD)MetaEdu_Met,DIFF(M)MetaEdu_Met,DIFF(Mdn)MetaEdu_Met,DIFF(SD)MetaEdu_Met,FAM(M)MetaEdu_Met,FAM(Mdn)MetaEdu_Met,FAM(SD)MetaEdu_Met,MEA(M)MetaEdu_Lit,MEA(Mdn)MetaEdu_Lit,MEA(SD)MetaEdu_Lit,DIFF(M)MetaEdu_Lit,DIFF(Mdn)MetaEdu_Lit,DIFF(SD)MetaEdu_Lit,FAM(M)MetaEdu_Lit,FAM(Mdn)MetaEdu_Lit,FAM(SD)MetaEdu_Lit,Cloze13_Met(%),Cloze13_Lit(%),Bambini et al. (2013),Bambini et al. (2016),Canal et al. (2022),Bambini et al. (2024),Lago et al. (2024),IUSS NEPLab MoveMe study,IUSS NEPLab MetaBody study,IUSS NEPLab MetaImagery study,IUSS NEPLab MetaStep study
FA027,met_26,"5,8",Nominal predicative,Alla prima dello spettacolo le ballerine sono farfalle molto aggraziate.,Nei disegni dei bambini gli animali più colorati sono farfalle multicolore.,"At a show’s premiere, the dancers are very graceful butterflies.",ballerina,farfalla,animale,9,8,7,"3,666666667","3,5","1,211060142","2,166666667",2,"0,4082482905","2,428571429",2,"1,272418021","4,111111111",5,"1,166666667","1,5","1,5","0,5345224838","3,3","3,5","1,766981104",0,0,Y,N,Y,N,N,N,N,N,N
FA028,met_27,"8,2",Nominal predicative,Per le ricerche di letteratura certe biblioteche sono miniere ricche di informazioni.,Nel territorio di montagna le cave abbandonate sono miniere di ferro e magnesio.,"For literary research, certain libraries are mines rich in information.",biblioteca,miniera,cava,10,7,4,4,4,"0,894427191","1,333333333",1,"0,5163977795","3,333333333",3,"1,322875656",3,"3,5","1,264911064","2,5","2,5","1,048808848","3,333333333","3,5","1,632993162",0,0,Y,N,N,N,N,N,N,N,N
FA029,met_28,"7,6",Nominal predicative,Per i faccendieri del tribunale le borse sono macigni traboccanti di documenti.,Le pietre da lavorare sono macigni che ricoprivano il lato della montagna.,"For courthouse fixers, briefcases are boulders overflowing with documents.",borsa,macigno,pietra,5,7,6,"3,333333333","3,5","0,8164965809","1,333333333",1,"0,5163977795",4,4,"0,632455532","4,857142857",5,"0,377964473",1,1,0,"4,5","4,5","0,5477225575",0,0,Y,N,N,N,N,N,Y,N,N
FA030,met_29,"6,8",Nominal predicative,Per gli adolescenti amanti del rock certe canzoni sono droghe ipnotiche.,La polizia spiega che le pasticche colorate sono droghe molto pesanti.,"For teenage rock lovers, certain songs are hypnotic drugs.",canzone,droga,pasticca,7,5,8,"3,166666667",3,"0,7527726527","2,333333333",2,"0,5163977795","1,8",2,"0,632455532",4,"4,5","1,549193338","1,5",1,"0,8366600265",4,4,"0,5773502692",0,0.17,Y,N,N,N,N,N,N,N,N
FA031,met_30,"7,2",Nominal predicative,Per i bambini maltrattati le carezze sono balsami che curano il trauma.,Nella cura dei capelli i detergenti più nuovi sono balsami che non danneggiano il fusto.,"For mistreated children, caresses are balms that heal trauma.",carezza,balsamo,detergente,7,7,10,3,3,"0,894427191","2,166666667",2,"0,4082482905","1,571428571",2,"0,5345224838","3,111111111",3,"0,78173596","2,375",2,"0,7440238091","3,2",3,"1,032795559",0,0,Y,Y,N,N,Y,N,N,N,Y
FA032,met_31,"5,6",Nominal predicative,Nell'ora del rientro dal lavoro le città sono giungle caotiche.,Le foreste dell'America centrale sono giungle selvagge.,"At rush hour, cities are chaotic jungles.",città,giungla,foresta,5,7,7,"3,857142857",4,"0,377964473","2,142857143",2,"1,345185418","4,166666667","4,5","1,169045194","4,333333333",4,"0,5163977795","1,666666667","1,5","0,8164965809","3,333333333",3,"1,58113883",0,0,Y,N,N,N,N,N,Y,N,Y
FA033,met_32,"3,8",Nominal predicative,Nelle poesie dei poeti romantici le fanciulle sono rose delicate.,Nei giardini a primavera i fiori più profumati sono rose e gelsomini.,"In the poems of romantic poets, young women are delicate roses.",fanciulla,rosa,fiore,9,4,5,"3,333333333",4,"1,211060142","2,166666667",2,"1,471960144","1,888888889",2,"0,78173596","4,333333333",5,"1,632993162",1,1,0,"4,833333333",5,"0,4082482905",0,0,Y,Y,N,N,Y,N,N,Y,Y
FA034,met_33,7,Nominal predicative,Quando si suda per la tensione le giacche sono forni di calore.,Nelle cucine americane gli elettrodomestici più richiesti sono forni a micronde.,"When sweating from tension, jackets are ovens of heat.",giacca,forno,elettrodomestico,6,5,16,"2,5",2,"1,378404875","2,166666667","2,5","0,9831920803","2,7",3,"1,059349905","3,666666667",4,"1,366260102","1,5",1,"0,8366600265","3,714285714",4,"1,112697281",0,0,Y,N,N,Y,N,N,N,N,N
FA035,met_34,"6,4",Nominal predicative,Nei bambini appena nati le guance sono pesche liscissime.,Ai mercati generali i frutti profumati sono pesche e albicocche di stagione.,"In newborns, cheeks are incredibly smooth peaches.",guancia,pesca,frutto,7,5,6,"3,222222222",3,"0,8333333333","2,125",2,"1,246423455","2,9",3,"1,663329993","4,833333333",5,"0,4082482905",1,1,0,"4,8",5,"0,4216370214",0,0,Y,N,N,Y,N,N,Y,N,N
FA036,met_35,5,Nominal predicative,Alle sfilate di alta moda le indossatrici sono bambole di incantevole bellezza.,Tra i regali di Natale i pupazzi più richiesti sono bambole parlanti.,"At high-fashion runway shows, models are dolls of enchanting beauty.",indossatrice,bambola,pupazzo,12,7,7,"3,5",4,"1,378404875","1,666666667",1,"1,211060142","3,444444444",3,"1,130388331","3,666666667",4,"1,032795559",2,2,"1,095445115","3,5","3,5","1,048808848",0,0,Y,N,N,N,N,N,N,Y,N
FA037,met_36,"6,4",Nominal predicative,Con certi insegnanti dell'università le lezioni in classe sono sonniferi potentissimi.,Il farmacista spiega che le pillole prescritte sono sonniferi integrati con antidolorifici.,"With certain university professors, classroom lessons are powerful sleeping pills.",lezione,sonnifero,pillola,7,9,7,"4,285714286",4,"0,755928946","1,285714286",1,"0,4879500365","3,333333333","3,5","0,8164965809","4,666666667",5,"0,5163977795","1,5",1,"0,8366600265","4,111111111",5,"1,166666667",0,0,Y,Y,N,N,Y,N,N,N,Y
FA038,met_37,"6,8",Nominal predicative,Specialmente nei paesi del terzo mondo certe malattie sono cecchini senza pietà.,Durante la guerra i militari mandati in avanscoperta erano cecchini di grande precisione.,"Especially in third-world countries, certain diseases are ruthless snipers.",malattia,cecchino,militare,8,8,8,"2,833333333",3,"1,722401424","2,166666667","2,5","0,9831920803","1,428571429",1,"0,7867957925","4,222222222",5,"1,092906421","1,625","1,5","0,7440238091","3,4","3,5","1,577621275",0,0,Y,Y,N,N,Y,N,N,N,Y
FA039,met_38,"8,6",Nominal predicative,Per i distubi del sonno certe melodie sono camomille rilassanti.,Nella bottega dell'erborista le bevande più richieste sono camomille rilassanti.,"For sleep disorders, certain melodies are relaxing chamomiles.",melodia,camomilla,bevanda,7,9,7,"2,666666667",3,"1,366260102","2,166666667",2,"1,471960144","2,666666667",3,"1,118033989","3,5","4,5","1,974841766","1,5","1,5","0,5477225575",4,4,"1,095445115",0,0,Y,Y,N,N,Y,N,N,N,Y
FA040,met_39,"7,2",Nominal predicative,Nelle situazioni di crisi economica certe notizie sono terremoti destabilizzanti.,L'ente nazionale ha informato che le scosse registrate sono terremoti lievissimi.,"In times of economic crisis, certain news stories are destabilizing earthquakes.",notizia,terremoto,scossa,7,9,6,"3,571428571",4,"0,9759000729","1,857142857",1,"1,214985793","2,666666667",2,"1,505545305","4,166666667","4,5","0,9831920803","1,833333333","1,5","0,9831920803","2,777777778",3,"0,6666666667",0,0,Y,Y,N,N,Y,N,N,N,Y
FA041,met_40,"5,8",Nominal predicative,Le tasche delle giacche dei nonni sono banche zeppe di monete.,Nell'elenco delle società quotate gli istituti ai vertici sono banche con capitali stranieri.,The pockets of grandfathers’ jackets are banks full of coins.,tasca,banca,istituto,5,5,8,"2,444444444",2,"1,236033081","2,5",2,"1,069044968","1,1",1,"0,316227766","4,833333333",5,"0,4082482905","1,333333333",1,"0,5163977795","3,8","3,5","1,135292424",0,0,Y,N,N,N,N,N,N,N,N
FA042,met_41,7,Nominal predicative,Ai matrimoni tradizionali le torte sono montagne di panna e praline.,Nelle cartine geografiche rilievi indicati con colori scuri sono montagne di altezza superiore a 2000 metri.,"At traditional weddings, cakes are mountains of cream and pralines.",torta,montagna,rilievo,5,8,7,3,"2,5","1,264911064","2,666666667",3,"0,5163977795",2,2,"0,894427191",4,4,1,"1,142857143",1,"0,377964473","4,166666667","4,5","1,169045194",0,0,Y,N,N,Y,N,N,N,N,N
FA043,met_42,"6,2",Nominal predicative,Specialmente nel genere femminile certe voci sono trombe squillanti e fastidiose.,Nella nuova orchestra gli strumenti più bizzarri sono trombe bitonali dal suono molto acuto.,"Especially among women, certain voices are blaring and annoying trumpets.",voce,tromba,strumento,4,6,9,"2,666666667",2,"1,505545305",2,2,"0,894427191","3,7",3,"0,9486832981",4,"4,5","1,549193338","1,166666667",1,"0,4082482905","3,714285714",3,"1,253566341",0,0,Y,N,N,Y,N,N,N,N,N
FA044,met_56,"7,4",Nominal predicative,Soprattutto nelle culture tradizionali i matrimoni sono querce dalle radici solide.,Gli alberi più antichi del parco sono querce millenarie.,"Especially in traditional cultures, marriages are oaks with deep roots.",matrimonio,quercia,albero,10,20,6,"3,677834219",4,"1,11304816","1,661576262",1,"0,8233586589","2,16",2,"1,02794293","4,72",5,"0,5416025603","1,28",1,"0,5416025603","4,375",5,"0,969648076",NA,NA,N,Y,N,N,Y,N,N,N,Y
FA161,met_71,"5,6",Nominal predicative,Per molti anziani i figli sono stampelle che sostengono nella vecchiaia.,Quelle assi in legno sono stampelle rudimentali piuttosto scomode.,"For many elderly people, children are crutches that support them in old age.",figlio,stampella,asse,6,35,4,"4,4",5,"0,7071067812","1,44",1,"0,5830951895","4,214668246",5,"1,075913857","4,206176626",5,"1,099898295","1,550698123",1,"0,8773152112","3,08",3,"1,25565388",NA,NA,N,N,Y,N,N,N,N,N,Y
FA339,met_59,"7,8",Nominal predicative,Dopo un temporale le nuvole sono perle di infiniti riflessi.,Le gemme delle collane reali sono perle provenienti dalle Indie.,"After a storm, clouds are pearls of infinite reflections.",nuvola,perla,gemma,6,23,5,"3,046436923",3,"1,160608573","2,601760771",2,"1,320684774","1,92",2,"1,077032961",4,5,"1,322875656","1,72",1,"1,137248141","3,125","3,5","1,392916864",NA,NA,N,N,N,N,N,N,Y,N,N
FA348,met_62,"7,4",Nominal predicative,Nelle scelte di vita i dubbi sono ombre che offuscano la via.,Le forme sulle pareti delle grotte sono ombre generate dagli scogli al tramonto.,"In life choices, doubts are shadows that cloud the path.",dubbio,ombra,forma,6,26,5,"3,52",4,"1,122497216","2,04",2,"0,7348469228","3,008880807",3,"1,063783352","3,079463063",3,"1,382871626","2,546025628",2,"1,143225897","2,16",2,"1,143095213",NA,NA,N,N,N,Y,N,N,N,N,Y
FA349,met_64,"7,2",Nominal predicative,Nei momenti di sconforto i sogni sono ali per viaggiare lontano.,Negli uccelli primitivi le cartilagini esterne erano ali finalizzate al trasporto.,"In moments of discouragement, dreams are wings to travel far.",sogno,ala,cartilagine,5,28,11,"4,24",5,"1,051982256","1,52",1,"0,6531972647","3,392239122",4,"1,098624976","3,452791541",3,"1,4244532","2,251318664",2,"1,116824182","2,72",3,"1,137248141",NA,NA,N,N,N,Y,N,N,N,N,N
FA379,met_66,8,Nominal predicative,Negli indecisi le opinioni sono pendoli che vanno di qua e di là.,Tra i pezzi di artigianato in legno gli orologi sono pendoli a ricarica manuale.,"In the undecided, opinions are pendulums swinging back and forth.",opinione,pendolo,orologio,8,30,8,"3,92",4,"1,15181017","1,72",2,"0,7916228058","3,050716682",3,"1,15354177","2,123813685",2,"1,126113526","2,956643281",3,"1,373798247","2,08",2,"1,15181017",NA,NA,N,N,N,Y,N,N,N,N,N
FA402,met_57,"7,4",Nominal predicative,Quando si toccano argomenti delicati le parole sono pietre che pesano sull'animo.,I detriti lasciati dal fiume sono pietre e ghiaia di piccole dimensioni.,"When discussing sensitive topics, words are stones that weigh on the soul.",parola,pietra,detrito,6,21,7,"4,004521926",4,"1,105553778","1,832934346",2,"0,9056929099","2,76",2,"1,234233905","4,6",5,"0,9128709292","1,48",1,"0,822597512","4,166666667",4,"0,8681147323",NA,NA,N,N,N,Y,N,N,N,N,Y
FA434,met_43,"8,8",Nominal predicative,Nelle persone creative le menti sono vulcani di idee e progetti.,Negli atolli tropicali i crateri maggiori sono vulcani ancora attivi.,"In creative people, minds are volcanoes of ideas and projects.",mente,vulcano,cratere,6,7,7,"4,708333333",5,"0,4643056215","1,166666667",1,"0,4815434123","4,16",4,"0,898146239","4,36",5,"0,9521904571","1,8",2,"0,8164965809","3,5",4,"1,251086484",NA,NA,N,N,N,N,N,N,N,N,N
FA435,met_44,"8,6",Nominal predicative,Al giorno d'oggi i passatempi sono oasi dal lavoro e dalla frenesia del quotidiano.,Durante il safari la guida spiega che le radure in lontananza sono oasi per i nomadi.,"Nowadays, pastimes are oases from work and daily frenzy.",passatempo,oasi,radura,10,8,6,"4,018572225",4,"1,233094203","1,779261736",2,"1,022406799","3,12",3,"1,235583533","4,2",5,"1,190238071","1,64",1,"0,8103497187",3,3,"1,414213562",NA,NA,N,N,N,N,N,N,N,N,N
FA436,met_45,"8,2",Nominal predicative,Specialmente nella adolescenza le passioni sono venti passeggeri e instabili.,Le brezze che increspano il mare sono venti provenienti da oriente.,"Especially in adolescence, passions are fleeting and unstable winds.",passione,vento,brezza,8,9,6,"4,249323768",5,"1,022694748","1,520896272","1,022406799","0,5851345611","3,08",3,"0,8621678104","4,36",5,"0,8103497187","1,6",1,"0,8660254038","3,375",3,"1,279011167",NA,NA,N,N,N,N,N,N,N,N,Y
FA437,met_46,8,Nominal predicative,In un percorso di miglioramento spirituale le virtù sono muscoli da potenziare.,Nel corpo umano le fibre più lunghe sono muscoli striati.,"On a path of spiritual growth, virtues are muscles to strengthen.",virtù,muscolo,fibra,5,10,5,"3,80090779",4,"1,038295957","1,823405382",2,"0,8221466499","2,44",2,"1,193035345","4,28",5,"1,061445555","1,76",2,"0,9255628918","3,166666667",3,"1,00722031",NA,NA,N,N,N,N,N,N,N,N,N
