ID_FA,ID_Metabody,Inclusiveness,Met_structure,Metaphor,Literal,Translation (Eng),Met_topic,Met_vehicle,Lit_vehicle,Length_Topic,Length_Met_Vehicle,Length_Lit_Vehicle,Freq_VehicleMetabody_Met,Logfreq_VehicleMetabody_Met,Freq_VehicleMetabody_Lit,Logfreq_VehicleMetabody_Lit,FamMetabody_Met,SensMetabody_Met,BodyMetabody_Met,FamMetabody_Lit,SensMetabody_Lit,BodyMetabody_Lit,Bambini et al. (2013),Bambini et al. (2016),Canal et al. (2022),Bambini et al. (2024),Lago et al. (2024),IUSS NEPLab MoveMe study,IUSS NEPLab MetaImagery study,IUSS NEPLab MetaEducation study,IUSS NEPLab MetaStep study
FA312,BODY_Met_22,"6,2",Nominal predicative,Quel braccio è una sbarra,Quel braccio è muscoloso,That arm is a bar,braccio,sbarra,muscoloso,7,6,9,47,1.67,6,"0,78",3,"3,666666667","5,208333333",7,"6,846153846","6,961538462",N,N,N,N,N,N,N,N,N
FA313,BODY_Met_23,"5,8",Nominal predicative,Quei capelli sono spaghetti,Quei capelli sono ricci,That hair is spaghetti,capello,spaghetto,riccio,7,9,6,36,1.56,37,"1,57","5,625","5,75","5,958333333","5,076923077","5,346153846","6,115384615",N,N,N,N,N,N,N,N,N
FA314,BODY_Met_24,"3,4",Nominal predicative,Quella fronte è una pianura,Quella fronte è distesa,That forehead is a plain,fronte,pianura,disteso,6,7,7,47,1.67,13,"1,11","3,875","4,708333333","5,583333333","6,730769231","6,730769231",7,N,N,N,N,N,N,N,N,N
FA315,BODY_Met_25,"7,2",Nominal predicative,Quegli addominali sono marmo,Quegli addominali sono definiti,Those abs are marble,addominale,marmo,definito,10,5,8,78,1.89,6,"0,78","6,291666667","6,041666667","6,791666667","6,576923077","6,538461538","6,846153846",N,N,N,N,N,N,N,N,N
FA316,BODY_Met_26,"2,8",Nominal predicative,Quelle labbra sono un canotto,Quelle labbra sono carnose,Those lips are dinghies,labbro,canotto,carnoso,6,7,7,4,0.6,12,"1,08","5,75","5,666666667","6,375","6,653846154","6,576923077","6,346153846",N,N,N,N,N,N,N,N,N
FA317,BODY_Met_27,"6,6",Nominal predicative,Quei bicipiti sono sassi,Quei bicipiti sono allenati,Those biceps are stones,bicipite,sasso,allenato,8,5,8,73,1.86,38,"1,58","4,375","4,666666667","5,833333333","6,615384615","6,884615385","6,730769231",N,N,N,N,N,N,Y,N,N
FA318,BODY_Met_28,"7,8",Nominal predicative,Quelle unghie sono ruspe,Quelle unghie sono curate,Those nails are excavators,unghia,ruspa,curato,6,5,6,17,1.23,12,"1,08","2,375","3,041666667","4,666666667","6,307692308","6,192307692","6,615384615",N,N,N,Y,N,N,Y,N,N
FA319,BODY_Met_29,"6,8",Nominal predicative,Quelle dita sono tentacoli,Quelle dita sono affusolate,Those fingers are tentacles,dito,tentacolo,affusolato,4,9,10,8,0.9,15,"1,18","4,791666667","5,25","5,625","6,125","6,041666667","6,25",N,N,N,N,N,N,N,N,N
FA320,BODY_Met_30,"6,2",Nominal predicative,Quei peli sono aghi,Quei peli sono ispidi,Those hairs are needles,pelo,ago,ispido,4,3,6,58,1.76,40,"1,6","4,708333333","5,333333333","5,916666667","5,461538462","5,692307692","6,384615385",N,N,N,Y,N,N,N,N,N
FA321,BODY_Met_31,"6,6",Nominal predicative,Quel brufolo è un vulcano,Quel brufolo è sanguinante,That pimple is a volcano,brufolo,vulcano,sanguinante,7,7,11,30,1.48,6,"0,78","5,375","5,5","6,166666667","6,269230769","6,307692308","6,461538462",N,N,N,N,N,N,N,N,N
FA322,BODY_Met_32,7,Nominal predicative,Quel neo è una mora,Quel neo è molto scuro,That mole is a blackberry,neo,mora,scuro,3,4,5,15,1.18,6,"0,78","2,541666667","3,166666667","5,25","6,125","5,916666667","6,458333333",N,N,N,N,N,N,N,N,N
FA323,OBJECT_Met_1,7,Nominal predicative,Quell'autostrada è un serpente,Quell'autostrada è trafficata,That highway is a snake,autostrada,serpente,trafficato,10,8,10,53,1.72,4,"0,6","3,692307692","5,423076923","2,423076923","5,291666667","5,375","1,625",N,N,N,N,N,N,N,N,N
FA324,OBJECT_Met_2,7,Nominal predicative,Quella fabbrica è un alveare,Quella fabbrica è dismessa,That factory is a beehive,fabbrica,alveare,dismesso,8,7,8,13,1.1100000000000001,22,"1,34","4,5","5,461538462","3,153846154","6,423076923","6,769230769","2,961538462",N,N,N,Y,N,N,N,N,N
FA325,OBJECT_Met_3,"7,2",Nominal predicative,Quella luna è un palloncino,Quella luna è calante,That moon is a balloon,luna,palloncino,calante,4,10,7,11,1.04,148,"2,17",,"4,038461538","2,115384615","6,166666667","5,916666667","1,791666667",N,N,N,Y,N,N,N,N,N
FA326,OBJECT_Met_4,"6,8",Nominal predicative,Quella sigaretta è un proiettile,Quella sigaretta è aromatica,That cigarette is a bullet,sigaretta,proiettile,aromatico,10,10,9,73,1.86,52,"1,71","2,230769231","3,576923077","2,923076923","4,583333333","5,041666667","3,041666667",N,N,N,Y,N,N,N,N,N
FA327,OBJECT_Met_5,"6,2",Nominal predicative,Quella stanza è una discarica,Quella stanza è luminosa,That room is a junkyard,stanza,discarica,luminoso,6,9,8,44,1.64,75,"1,88","4,653846154",6,"2,692307692","6,75","6,291666667","2,875",N,N,N,Y,N,N,N,N,N
FA328,OBJECT_Met_6,"6,6",Nominal predicative,Quel computer è una tartaruga,Quel computer è rumoroso,That computer is a tortoise,computer,tartaruga,rumoroso,9,9,8,32,1.51,4,"0,6","3,769230769","5,230769231","1,807692308","5,875","5,583333333","2,333333333",N,N,N,Y,N,N,N,N,N
FA329,OBJECT_Met_7,"7,6",Nominal predicative,Quel libro è una lanterna,Quel libro è illustrato,That book is a lantern,libro,lanterna,illustrato,5,8,10,14,1.1499999999999999,99,2,"1,846153846","3,423076923","1,730769231","6,541666667","6,041666667","2,041666667",N,N,N,N,N,N,N,N,N
FA330,OBJECT_Met_8,8,Nominal predicative,Quell'automobile è un missile,Quell'automobile è usata,That automobile is a missile,automobile,missile,usato,10,7,5,70,1.85,78,"1,89","5,807692308","6,346153846","3,115384615","6,625","6,125","1,791666667",N,N,N,N,N,N,N,N,N
FA331,OBJECT_Met_9,"8,2",Nominal predicative,Quel cavo è un gomitolo,Quel cavo è annodato,That cable is a ball of wool,cavo,gomitolo,annodato,4,8,8,0,0,61,"1,79","4,538461538",5,"1,961538462","6,25","5,875","1,916666667",N,N,N,N,N,N,N,N,N
FA332,OBJECT_Met_14,"8,2",Nominal predicative,Quel cappello è un fungo,Quel cappello è logoro,That hat is a mushroom,cappello,fungo,logoro,8,5,6,38,1.58,7,"0,85","3,730769231","4,846153846","2,615384615","5,208333333","4,958333333","1,833333333",N,N,N,Y,N,N,N,N,N
FA333,OBJECT_Met_15,"8,2",Nominal predicative,Quella grondaia è uno scolapasta,Quella grondaia è metallica,That drainpipe is a colander,grondaia,scolapasta,metallico,8,10,9,1,0,20,"1,3","3,423076923","5,153846154","1,653846154","6,75","6,375","2,916666667",N,N,N,Y,N,N,N,N,N
FA334,OBJECT_Met_16,"7,8",Nominal predicative,Quella casa è un gioiello,Quella casa è molto spaziosa,That house is a jewel,casa,gioiello,spazioso,4,8,8,133,2.12,4,"0,6","5,807692308","6,346153846","2,884615385","6,230769231","6,5","3,5",N,N,N,N,N,N,N,N,N
FA335,OBJECT_Met_17,"6,8",Nominal predicative,Quell'ospedale è un labirinto,Quell'ospedale è rinomato,That hospital is a maze,ospedale,labirinto,rinomato,8,9,8,27,1.43,204,"2,31","5,958333333","6,083333333","2,166666667","5,846153846","6,461538462","3,269230769",N,N,N,N,N,N,N,N,N
FA336,OBJECT_Met_18,8,Nominal predicative,Quel diario è una miniera,Quel diario è intimo,That diary is a quarry,diario,miniera,intimo,6,7,6,31,1.49,30,"1,48","4,083333333","5,041666667","1,666666667","6,807692308","6,653846154","3,423076923",N,N,N,N,N,N,N,N,N
FA337,OBJECT_Met_19,"8,4",Nominal predicative,Quell'aiuola è un arcobaleno,Quell'aiuola è proprio secca,That flowerbed is a rainbow,aiuola,arcobaleno,secco,6,10,5,7,0.85,15,"1,18","2,916666667",4,"1,916666667","6,25","5,958333333","1,708333333",N,N,N,N,N,N,N,N,N
FA338,OBJECT_Met_24,"7,2",Nominal predicative,Quel sonaglio è una camomilla,Quel sonaglio è molto grazioso,That rattle is a chamomile,sonaglio,camomilla,grazioso,8,9,8,6,0.78,13,"1,11",,"2,916666667",2,"3,423076923","5,307692308","1,769230769",N,N,N,Y,N,N,N,N,N
FA339,OBJECT_Met_25,"7,8",Nominal predicative,Quella nuvola è una perla,Quella nuvola è iridata,That cloud is a pearl,nuvola,perla,iridato,6,5,7,30,1.48,91,"1,96",,"3,416666667","1,708333333","2,461538462","3,5","2,384615385",N,N,N,N,N,N,N,Y,N
FA340,OBJECT_Met_26,"5,6",Nominal predicative,Quella firma è un geroglifico,Quella firma è illeggibile,That signature is a hieroglyph,firma,geroglifico,illeggibile,5,11,11,3,0.48,94,"1,97",,"6,208333333","2,916666667","6,769230769","6,846153846","3,5",N,N,N,Y,N,N,N,N,N
FA341,OBJECT_Met_27,"7,4",Nominal predicative,Quegli abiti sono petali,Quegli abiti sono invernali,Those dresses are petals,abito,petalo,invernale,5,6,9,28,1.45,68,"1,83",,"2,625","2,291666667","6,807692308","6,730769231","4,384615385",N,N,N,Y,N,N,N,N,N
FA342,OBJECT_Met_28,"8,2",Nominal predicative,Quel mare è uno smeraldo,Quel mare è molto calmo,That sea is an emerald,mare,smeraldo,calmo,4,8,5,5,0.7,6,"0,78",,"5,333333333","2,375","6,653846154","6,807692308","3,038461538",N,N,N,Y,N,N,N,N,N
FA343,OBJECT_Met_29,6,Nominal predicative,Quella piscina è un brodo,Quella piscina è riscaldata,That pool is a broth,piscina,brodo,riscaldato,7,5,10,55,1.74,27,"1,43",,"5,291666667","2,708333333","6,769230769","6,730769231","4,192307692",N,N,N,N,N,N,N,N,N
FA344,OBJECT_Met_30,"6,6",Nominal predicative,Quel pannolino è una diga,Quel pannolino è sporco,That diaper is a dam,pannolino,diga,sporco,9,4,6,16,1.2,39,"1,59","2,083333333","3,208333333","3,5","6,461538462","6,653846154","4,769230769",N,N,N,Y,N,N,N,N,N
FA345,OBJECT_Met_31,"8,2",Nominal predicative,Quell'aspirapolvere è un'astronave,Quell'aspirapolvere è potente,That vacuum cleaner is a spaceship,aspirapolvere,astronave,potente,13,9,7,17,1.23,2,"0,3","3,5","4,208333333","1,75","6,192307692","6,384615385","2,961538462",N,N,N,Y,N,N,N,N,N
FA346,OBJECT_Met_32,"6,2",Nominal predicative,Quel bar è un cimitero,Quel bar è molto affollato,That bar is a cemetery,bar,cimitero,affollato,4,8,9,69,1.84,3,"0,48","5,166666667","5,166666667","1,833333333","6,846153846","6,653846154","4,346153846",N,N,N,Y,N,N,N,N,N
